distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
8,025,664,34,20,15,165,16,83,125
8,025,728,47,16,12,175,24,83,124
9,001,735,94,24,24,121,17,141,28
9,002,435,60,19,15,85,11,69,29
9,002,423,49,10,14,84,14,64,28
9,003,532,59,22,25,74,16,96,35
9,003,632,64,14,38,93,19,104,40
9,003,510,58,13,24,91,11,78,45
9,004,801,104,20,17,92,25,125,39
9,005,397,64,9,17,54,3,54,24
9,005,435,68,10,13,59,4,70,11
9,006,468,81,16,8,70,15,60,29
9,006,561,96,29,11,85,9,87,24
9,007,496,76,24,22,53,8,80,18
9,007,519,72,13,29,49,11,103,25
9,008,829,107,31,44,69,13,191,43
9,009,400,43,11,13,40,3,89,15
9,009,450,55,7,21,53,13,75,21
9,010,545,67,13,39,59,12,124,24
9,010,593,81,21,20,86,11,101,31
9,012,430,48,12,16,40,15,77,28
9,012,437,49,19,24,41,10,82,21
9,013,810,101,28,21,71,14,159,32
9,014,734,94,17,15,93,14,105,30
9,015,731,110,24,19,64,11,117,44
9,016,428,55,14,18,39,11,73,15
9,016,465,58,22,14,44,5,71,17
9,017,458,54,14,6,36,13,94,20
9,017,489,57,11,19,47,14,65,30
9,018,510,64,20,22,52,13,94,19
9,018,512,76,14,25,41,12,93,26
9,019,421,64,19,11,32,0,75,16
9,019,445,53,19,17,54,3,83,24
9,020,603,81,18,43,53,10,137,30
9,020,632,73,24,33,60,12,162,31
9,021,519,77,16,36,45,4,124,26
9,021,534,76,19,41,58,5,116,34
9,022,638,108,20,28,69,17,106,29
9,022,529,80,19,11,63,12,97,28
9,023,720,63,31,29,63,13,135,36
9,023,776,87,30,25,70,10,168,37
9,024,607,81,23,28,66,13,109,35
9,024,550,62,15,18,59,17,95,34
9,025,451,66,10,16,87,11,62,29
9,025,423,48,14,13,78,8,55,31
9,026,745,71,34,37,82,19,168,62
9,026,688,61,24,36,62,20,164,44
9,027,731,47,32,21,88,21,172,91
9,028,724,53,46,25,81,11,170,90
9,028,737,54,60,29,69,14,179,89
10,001,642,78,17,26,87,24,119,39
10,001,704,85,23,37,108,11,118,46
10,002,517,75,21,26,39,12,104,37
10,002,635,85,25,36,78,9,122,41
10,002,578,67,33,26,64,9,110,51
10,003,650,68,16,24,84,12,119,25
10,003,688,85,15,28,67,17,153,35
10,004,586,101,24,31,71,11,95,34
10,004,660,96,13,32,115,16,107,37
10,005,589,60,11,26,104,5,104,19
10,006,402,66,21,11,65,11,58,21
10,006,469,81,15,19,57,4,92,26
10,008,590,112,18,33,60,15,92,18
10,008,514,89,24,26,60,8,68,20
10,009,747,119,23,24,88,12,140,29
10,010,790,125,21,18,60,13,167,21
10,011,752,99,21,26,75,6,130,40
10,012,568,46,14,13,117,14,85,37
10,012,562,63,15,14,93,18,86,49
10,013,573,101,21,19,47,9,106,19
10,014,537,60,23,11,35,7,77,32
10,014,489,64,15,8,34,4,75,30
10,015,405,60,13,19,39,10,45,19
10,015,463,75,19,14,28,10,67,15
10,016,703,67,33,30,73,12,142,36
10,016,756,97,30,24,70,12,156,51
10,017,520,72,24,13,44,12,85,25
10,017,515,60,22,13,43,13,95,22
10,018,824,91,39,22,119,12,114,69
10,019,651,76,18,39,83,15,114,50
10,019,754,106,37,43,81,9,145,55
10,020,388,50,15,17,50,8,51,17
10,020,447,36,16,23,77,15,82,20
10,021,469,53,16,15,64,9,80,29
10,021,437,48,23,30,56,12,69,17
10,023,495,49,17,21,80,11,95,44
10,023,552,57,18,25,96,11,91,38
10,024,560,93,24,28,58,12,93,39
10,025,788,118,37,25,108,12,151,34
10,026,436,82,24,6,57,10,66,24
10,026,409,90,16,12,43,9,69,12
10,027,689,104,29,41,56,9,152,24
10,028,713,81,32,27,97,18,118,31
10,028,824,127,26,34,102,22,126,35
10,029,605,105,28,18,65,22,102,21
10,030,606,87,28,27,84,15,104,27
10,030,608,98,29,38,73,11,117,38
10,031,436,80,11,32,51,8,77,23
10,031,479,75,16,29,82,13,92,24
10,032,600,100,33,25,67,9,119,19
10,032,602,101,30,29,54,9,95,23
10,033,400,55,18,17,44,6,87,29
10,033,481,67,29,11,65,10,99,22
